no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
5, Not Graduate, No,6700000.0,24500000.0,12,818.0,1200000.0,5600000.0,16300000.0,6200000.0, Approved
2, Not Graduate, No,4300000.0,10600000.0,18,431.0,2100000.0,1500000.0,9300000.0,5200000.0, Rejected
5, Graduate, Yes,9300000.0,30500000.0,18,841.0,19300000.0,10300000.0,,8700000.0, Approved
1, Graduate, No,7400000.0,18400000.0,20,421.0,18500000.0,9100000.0,17500000.0,4100000.0, Rejected
4, Not Graduate, Yes,5500000.0,18200000.0,16,797.0,,4900000.0,18600000.0,4800000.0, Approved
2, Not Graduate, No,8500000.0,18900000.0,18,478.0,,,25900000.0,, Rejected
3, Not Graduate, Yes,,30500000.0,18,669.0,4700000.0,1900000.0,26500000.0,9300000.0, Approved
5, Not Graduate, Yes,8800000.0,28900000.0,6,365.0,,8600000.0,27400000.0,4700000.0, Rejected
3, Not Graduate, Yes,3300000.0,7500000.0,20,586.0,1600000.0,5600000.0,10500000.0,2900000.0, Approved
4, Graduate, Yes,3900000.0,12300000.0,18,784.0,7600000.0,6900000.0,13100000.0,2800000.0, Approved
1, Graduate, No,4100000.0,10300000.0,12,364.0,9500000.0,6100000.0,14900000.0,2800000.0, Rejected
3, Not Graduate, No,8300000.0,29100000.0,10,715.0,6100000.0,11900000.0,24100000.0,, Approved
0, Not Graduate, Yes,2700000.0,10100000.0,20,693.0,,1700000.0,5900000.0,1400000.0, Rejected
4, Graduate, No,5600000.0,12400000.0,4,777.0,5500000.0,3100000.0,11800000.0,5500000.0, Approved
0, Graduate, No,1900000.0,5000000.0,12,,4000000.0,2800000.0,4900000.0,2400000.0, Rejected
4, Not Graduate, Yes,,,20,340.0,,200000.0,1900000.0,600000.0, Rejected
5, Graduate, Yes,5300000.0,18600000.0,4,386.0,2700000.0,9700000.0,11900000.0,4200000.0, Approved
5, Not Graduate, No,7000000.0,18300000.0,4,418.0,18400000.0,11700000.0,21500000.0,7600000.0, Rejected
3, Not Graduate, Yes,5800000.0,16700000.0,16,735.0,3900000.0,9400000.0,12600000.0,5600000.0, Approved
2, Not Graduate, No,2600000.0,8400000.0,6,494.0,6500000.0,3800000.0,5600000.0,2000000.0, Rejected
2, Not Graduate, No,1900000.0,6500000.0,18,671.0,600000.0,2500000.0,4800000.0,1100000.0, Approved
4, Graduate, No,5700000.0,14800000.0,16,697.0,14300000.0,7800000.0,12900000.0,6300000.0, Approved
0, Graduate, No,9000000.0,,8,801.0,11600000.0,8900000.0,,11100000.0, Approved
2, Not Graduate, No,8500000.0,29400000.0,12,576.0,17600000.0,5600000.0,25200000.0,9000000.0, Approved
0, Not Graduate, No,700000.0,,14,639.0,1900000.0,700000.0,2400000.0,900000.0, Approved
4, Graduate, No,3500000.0,8900000.0,4,470.0,1300000.0,2200000.0,12300000.0,2000000.0, Rejected
0, Not Graduate, No,8800000.0,,4,826.0,2900000.0,500000.0,,8600000.0, Approved
2, Not Graduate, Yes,,21200000.0,16,363.0,,11400000.0,26600000.0,6800000.0, Rejected
3, Graduate, No,3600000.0,8600000.0,20,613.0,9400000.0,300000.0,10300000.0,3300000.0, Approved
3, Not Graduate, Yes,3000000.0,8200000.0,16,713.0,5300000.0,5800000.0,11000000.0,3400000.0, Approved
2, Graduate, No,6800000.0,21200000.0,16,439.0,17100000.0,4700000.0,23300000.0,3600000.0, Rejected
5, Not Graduate, Yes,1100000.0,3800000.0,18,387.0,1300000.0,1200000.0,3800000.0,1600000.0, Rejected
1, Not Graduate, Yes,8700000.0,28300000.0,8,402.0,20400000.0,13600000.0,27900000.0,10200000.0, Rejected
4, Graduate, Yes,2000000.0,8000000.0,6,837.0,5100000.0,2600000.0,3900000.0,2900000.0, Approved
2, Not Graduate, No,,,10,641.0,,,23400000.0,7600000.0, Approved
4, Graduate, No,5700000.0,21100000.0,18,489.0,500000.0,4300000.0,12500000.0,6000000.0, Rejected
4, Graduate, No,8800000.0,20700000.0,18,540.0,19200000.0,3200000.0,22400000.0,, Rejected
4, Graduate, No,3800000.0,8900000.0,4,844.0,9100000.0,3500000.0,13100000.0,4700000.0, Approved
1, Graduate, No,1700000.0,6400000.0,10,452.0,900000.0,1100000.0,5600000.0,2100000.0, Rejected
2, Graduate, No,1000000.0,2000000.0,10,366.0,1200000.0,400000.0,3200000.0,1300000.0, Rejected
5, Graduate, No,,,2,,,500000.0,,, Approved
2, Graduate, Yes,6600000.0,15000000.0,18,470.0,1200000.0,4800000.0,18200000.0,7000000.0, Rejected
2, Not Graduate, No,8700000.0,25000000.0,20,861.0,14700000.0,8500000.0,23200000.0,7300000.0, Approved
4, Graduate, No,9400000.0,29400000.0,12,562.0,,,,7100000.0, Approved
0, Graduate, No,4400000.0,10800000.0,14,463.0,2400000.0,4800000.0,13800000.0,4700000.0, Rejected
4, Not Graduate, No,,,12,478.0,700000.0,,,, Rejected
2, Not Graduate, Yes,,,2,702.0,300000.0,200000.0,,, Approved
2, Not Graduate, Yes,4300000.0,12900000.0,20,618.0,11400000.0,3600000.0,11400000.0,2400000.0, Approved
4, Graduate, No,1600000.0,4500000.0,12,633.0,700000.0,1700000.0,4100000.0,1900000.0, Approved
5, Not Graduate, Yes,6200000.0,23600000.0,10,331.0,18500000.0,10300000.0,23800000.0,8700000.0, Rejected
3, Not Graduate, Yes,4200000.0,9700000.0,16,841.0,7800000.0,300000.0,16700000.0,5100000.0, Approved
4, Not Graduate, Yes,9000000.0,18100000.0,12,764.0,600000.0,,20800000.0,, Approved
0, Graduate, No,2700000.0,10600000.0,6,591.0,1300000.0,2700000.0,9900000.0,1800000.0, Approved
1, Graduate, Yes,,,2,719.0,19600000.0,7600000.0,20400000.0,10900000.0, Approved
2, Graduate, No,3300000.0,6800000.0,14,,3400000.0,300000.0,11700000.0,3600000.0, Rejected
0, Not Graduate, No,,,8,778.0,800000.0,200000.0,,, Approved
3, Graduate, Yes,7400000.0,18200000.0,14,,5600000.0,3100000.0,17900000.0,5000000.0, Rejected
5, Not Graduate, No,7100000.0,19700000.0,8,502.0,7300000.0,5600000.0,25300000.0,9800000.0, Rejected
5, Not Graduate, Yes,7300000.0,22100000.0,18,,19500000.0,10600000.0,19300000.0,9800000.0, Approved
1, Not Graduate, No,8400000.0,23400000.0,14,437.0,15400000.0,5800000.0,,8100000.0, Rejected
0, Not Graduate, Yes,3300000.0,10800000.0,12,797.0,600000.0,6000000.0,7700000.0,3300000.0, Approved
4, Not Graduate, Yes,5800000.0,23200000.0,18,456.0,16100000.0,4200000.0,22600000.0,7500000.0, Rejected
0, Not Graduate, No,600000.0,,6,647.0,1500000.0,600000.0,,700000.0, Approved
0, Not Graduate, No,7200000.0,15800000.0,12,379.0,12700000.0,12200000.0,21500000.0,3600000.0, Rejected
1, Not Graduate, Yes,9100000.0,,2,717.0,2200000.0,2000000.0,23600000.0,5900000.0, Approved
5, Graduate, No,900000.0,2300000.0,16,545.0,,200000.0,2700000.0,800000.0, Rejected
2, Graduate, No,800000.0,3200000.0,8,,300000.0,1000000.0,2000000.0,900000.0, Rejected
1, Not Graduate, No,8500000.0,,10,570.0,5100000.0,6200000.0,20500000.0,5500000.0, Approved
0, Not Graduate, Yes,9000000.0,18700000.0,18,865.0,,,20900000.0,, Approved
3, Graduate, No,7000000.0,19500000.0,14,719.0,12200000.0,10300000.0,18200000.0,10200000.0, Approved
3, Graduate, No,,,16,821.0,400000.0,,,, Approved
4, Not Graduate, Yes,,,10,859.0,900000.0,500000.0,,, Approved
3, Not Graduate, No,5100000.0,18200000.0,10,395.0,,8000000.0,15500000.0,6300000.0, Rejected
2, Not Graduate, Yes,700000.0,2600000.0,12,429.0,1600000.0,1300000.0,2700000.0,800000.0, Rejected
3, Graduate, No,,,12,861.0,,600000.0,,, Approved
0, Not Graduate, Yes,,20800000.0,14,565.0,15100000.0,11900000.0,,, Approved
5, Graduate, No,8800000.0,22600000.0,10,357.0,7900000.0,8600000.0,18200000.0,4900000.0, Rejected
3, Not Graduate, Yes,1800000.0,3600000.0,18,465.0,600000.0,500000.0,5400000.0,2600000.0, Rejected
4, Not Graduate, Yes,6800000.0,13900000.0,8,479.0,11700000.0,9100000.0,25700000.0,9600000.0, Rejected
3, Not Graduate, No,1500000.0,5500000.0,16,717.0,2100000.0,800000.0,4400000.0,1300000.0, Approved
3, Graduate, No,1600000.0,5500000.0,12,425.0,600000.0,800000.0,5400000.0,900000.0, Rejected
2, Not Graduate, No,4600000.0,16700000.0,2,786.0,,5900000.0,13900000.0,6100000.0, Approved
5, Not Graduate, Yes,2200000.0,6700000.0,6,382.0,4400000.0,1300000.0,8600000.0,1100000.0, Rejected
3, Not Graduate, Yes,2900000.0,8500000.0,12,564.0,1000000.0,3100000.0,7500000.0,1800000.0, Approved
0, Graduate, No,,,8,501.0,500000.0,200000.0,,, Rejected
2, Not Graduate, Yes,2500000.0,9400000.0,10,727.0,6600000.0,4100000.0,9500000.0,3300000.0, Approved
4, Not Graduate, No,3600000.0,7500000.0,6,,1100000.0,6500000.0,7400000.0,2800000.0, Approved
0, Graduate, Yes,5500000.0,16700000.0,18,829.0,5500000.0,1300000.0,12800000.0,5900000.0, Approved
4, Not Graduate, No,6600000.0,17400000.0,20,506.0,2600000.0,10000000.0,25900000.0,7200000.0, Rejected
2, Graduate, Yes,8600000.0,,6,802.0,9400000.0,,24500000.0,9800000.0, Approved
5, Not Graduate, No,600000.0,,14,543.0,300000.0,900000.0,2100000.0,, Rejected
3, Graduate, Yes,1400000.0,3200000.0,20,772.0,2400000.0,900000.0,5100000.0,1600000.0, Approved
3, Graduate, No,4000000.0,11100000.0,12,572.0,9700000.0,,12500000.0,2400000.0, Approved
0, Not Graduate, Yes,4900000.0,11900000.0,16,709.0,14600000.0,900000.0,18500000.0,3800000.0, Approved
5, Graduate, No,2000000.0,6200000.0,18,402.0,4000000.0,2100000.0,7200000.0,1100000.0, Rejected
1, Not Graduate, Yes,5200000.0,19300000.0,8,481.0,14300000.0,9500000.0,18800000.0,4200000.0, Rejected
5, Graduate, Yes,8900000.0,28800000.0,6,772.0,13600000.0,5500000.0,20400000.0,8400000.0, Approved
1, Graduate, Yes,6500000.0,20600000.0,2,,15900000.0,1900000.0,18100000.0,3200000.0, Approved
2, Not Graduate, No,1300000.0,4500000.0,6,415.0,,900000.0,2900000.0,1200000.0, Rejected
3, Not Graduate, No,9400000.0,,16,548.0,18200000.0,4400000.0,,4800000.0, Rejected
5, Not Graduate, No,5000000.0,11200000.0,8,701.0,9100000.0,500000.0,14000000.0,4600000.0, Approved
2, Graduate, No,3000000.0,7700000.0,12,,4700000.0,4300000.0,8400000.0,2100000.0, Approved
5, Not Graduate, Yes,,,6,364.0,5300000.0,,27800000.0,8300000.0, Rejected
5, Graduate, Yes,700000.0,,20,704.0,1600000.0,,2200000.0,600000.0, Approved
3, Graduate, Yes,4000000.0,10600000.0,10,,1500000.0,5100000.0,8000000.0,4900000.0, Rejected
5, Not Graduate, No,3100000.0,9600000.0,2,761.0,5800000.0,1800000.0,10400000.0,4200000.0, Approved
4, Not Graduate, No,4500000.0,15100000.0,6,693.0,3700000.0,1500000.0,17800000.0,6000000.0, Approved
3, Not Graduate, No,,20600000.0,16,524.0,,11100000.0,27400000.0,6100000.0, Rejected
2, Not Graduate, Yes,2000000.0,5300000.0,10,681.0,4900000.0,1400000.0,4300000.0,2900000.0, Approved
2, Graduate, Yes,8100000.0,22300000.0,18,737.0,,12600000.0,27000000.0,7300000.0, Approved
0, Not Graduate, No,5700000.0,15900000.0,16,638.0,,9500000.0,16300000.0,4500000.0, Approved
4, Not Graduate, No,5800000.0,12800000.0,2,656.0,500000.0,5000000.0,16000000.0,2800000.0, Approved
1, Graduate, No,1800000.0,6500000.0,6,540.0,2500000.0,3200000.0,5000000.0,1100000.0, Rejected
4, Not Graduate, Yes,9100000.0,,6,341.0,1000000.0,300000.0,23100000.0,8200000.0, Rejected
0, Not Graduate, Yes,4800000.0,17500000.0,2,371.0,11700000.0,6800000.0,18700000.0,3500000.0, Approved
3, Not Graduate, Yes,3800000.0,10500000.0,12,,4000000.0,500000.0,14900000.0,2300000.0, Approved
0, Not Graduate, No,1900000.0,4100000.0,18,801.0,400000.0,800000.0,4800000.0,1200000.0, Approved
3, Not Graduate, Yes,3600000.0,9500000.0,16,748.0,7700000.0,2400000.0,9700000.0,2600000.0, Approved
2, Not Graduate, Yes,7400000.0,28200000.0,8,376.0,,5000000.0,17400000.0,5200000.0, Rejected
4, Not Graduate, Yes,6600000.0,14300000.0,8,371.0,10800000.0,9500000.0,18500000.0,7400000.0, Rejected
2, Graduate, No,1800000.0,5300000.0,6,826.0,4500000.0,700000.0,6500000.0,1300000.0, Approved
4, Not Graduate, No,9200000.0,27200000.0,12,,4500000.0,1800000.0,,, Approved
5, Not Graduate, Yes,2400000.0,8600000.0,8,,500000.0,600000.0,5700000.0,2800000.0, Rejected
4, Not Graduate, No,5600000.0,13300000.0,20,869.0,3300000.0,7500000.0,20000000.0,6500000.0, Approved
5, Graduate, No,3800000.0,13900000.0,12,534.0,4700000.0,2900000.0,8200000.0,2800000.0, Rejected
3, Not Graduate, Yes,4500000.0,17900000.0,6,787.0,9800000.0,3600000.0,14300000.0,4200000.0, Approved
0, Graduate, Yes,900000.0,2200000.0,16,566.0,,700000.0,2000000.0,600000.0, Approved
0, Not Graduate, No,2800000.0,9900000.0,8,742.0,4900000.0,1300000.0,6700000.0,1700000.0, Approved
2, Not Graduate, No,7500000.0,23100000.0,4,824.0,12100000.0,10900000.0,26300000.0,9500000.0, Approved
4, Graduate, No,1400000.0,3100000.0,14,575.0,3000000.0,2100000.0,4900000.0,1400000.0, Approved
2, Graduate, Yes,3800000.0,10900000.0,10,766.0,1900000.0,3900000.0,8600000.0,3000000.0, Approved
1, Not Graduate, Yes,1700000.0,5000000.0,10,,2900000.0,900000.0,4100000.0,2200000.0, Approved
3, Graduate, Yes,9000000.0,30400000.0,6,638.0,16800000.0,11000000.0,26900000.0,9200000.0, Approved
5, Not Graduate, Yes,7300000.0,23300000.0,6,622.0,7100000.0,11600000.0,26400000.0,10500000.0, Approved
1, Not Graduate, No,7400000.0,19800000.0,18,458.0,12600000.0,6200000.0,27700000.0,4000000.0, Rejected
1, Not Graduate, No,9000000.0,28200000.0,16,,1700000.0,2300000.0,24000000.0,, Rejected
0, Not Graduate, No,3000000.0,6500000.0,2,612.0,8800000.0,3400000.0,6700000.0,1700000.0, Approved
1, Graduate, No,800000.0,2900000.0,8,682.0,2200000.0,1100000.0,2900000.0,700000.0, Approved
2, Graduate, No,4800000.0,13200000.0,2,583.0,13700000.0,5800000.0,9500000.0,5200000.0, Approved
5, Not Graduate, No,6400000.0,18300000.0,8,697.0,10000000.0,3600000.0,22500000.0,3600000.0, Approved
3, Graduate, No,9200000.0,27100000.0,12,,5800000.0,11500000.0,28000000.0,9600000.0, Rejected
4, Not Graduate, Yes,,,2,669.0,,600000.0,,500000.0, Approved
2, Not Graduate, No,2800000.0,6000000.0,18,816.0,6300000.0,4200000.0,8000000.0,3400000.0, Approved
4, Not Graduate, Yes,8500000.0,28900000.0,20,455.0,15200000.0,5800000.0,22500000.0,9400000.0, Rejected
3, Graduate, Yes,4700000.0,16400000.0,10,,11400000.0,8100000.0,16200000.0,4300000.0, Rejected
4, Not Graduate, Yes,,21200000.0,20,355.0,,8900000.0,,, Rejected
2, Not Graduate, Yes,3800000.0,8900000.0,16,389.0,,5600000.0,12200000.0,2200000.0, Rejected
2, Graduate, No,,,2,,1500000.0,300000.0,,600000.0, Approved
2, Graduate, Yes,6900000.0,15600000.0,6,352.0,13000000.0,5300000.0,22600000.0,10000000.0, Rejected
4, Not Graduate, Yes,,30100000.0,12,,300000.0,6700000.0,,5600000.0, Approved
3, Not Graduate, No,2900000.0,6500000.0,18,827.0,8300000.0,600000.0,10400000.0,3200000.0, Approved
2, Graduate, No,,20900000.0,12,768.0,3400000.0,10200000.0,,, Approved
0, Graduate, No,7100000.0,15400000.0,18,707.0,10300000.0,10800000.0,19600000.0,5800000.0, Approved
1, Not Graduate, Yes,7700000.0,19100000.0,10,355.0,11300000.0,4900000.0,21900000.0,6600000.0, Rejected
3, Graduate, No,1400000.0,3300000.0,2,652.0,,2100000.0,3500000.0,1900000.0, Approved
3, Graduate, No,7800000.0,15900000.0,2,665.0,14400000.0,900000.0,27200000.0,5400000.0, Approved
5, Not Graduate, Yes,1700000.0,6000000.0,18,420.0,500000.0,1600000.0,3700000.0,2300000.0, Rejected
2, Not Graduate, No,8500000.0,,18,471.0,12600000.0,9400000.0,,, Rejected
5, Not Graduate, No,1900000.0,7500000.0,20,715.0,5100000.0,2800000.0,6500000.0,2800000.0, Approved
2, Not Graduate, Yes,6700000.0,15200000.0,10,689.0,,8200000.0,15000000.0,6800000.0, Approved
3, Graduate, Yes,6900000.0,16400000.0,4,787.0,11100000.0,6100000.0,26400000.0,3800000.0, Approved
2, Graduate, No,2600000.0,7800000.0,4,819.0,3100000.0,4300000.0,5700000.0,1500000.0, Approved
4, Graduate, Yes,,21100000.0,6,809.0,16100000.0,9500000.0,,8700000.0, Approved
1, Not Graduate, Yes,6800000.0,17000000.0,2,744.0,15500000.0,3900000.0,23700000.0,3500000.0, Approved
0, Not Graduate, No,3200000.0,11300000.0,6,484.0,3500000.0,5500000.0,8500000.0,2100000.0, Rejected
4, Not Graduate, No,2900000.0,10400000.0,6,673.0,5100000.0,1700000.0,10600000.0,1700000.0, Approved
3, Graduate, Yes,7900000.0,21200000.0,18,695.0,13800000.0,10600000.0,21800000.0,4900000.0, Approved
4, Not Graduate, Yes,3900000.0,12400000.0,12,473.0,6400000.0,4700000.0,13100000.0,3800000.0, Rejected
4, Graduate, Yes,4600000.0,11000000.0,2,491.0,9000000.0,4000000.0,16100000.0,3500000.0, Rejected
3, Not Graduate, Yes,700000.0,,8,733.0,1200000.0,800000.0,2400000.0,500000.0, Approved
0, Not Graduate, No,5200000.0,15600000.0,20,434.0,14100000.0,5800000.0,18100000.0,5500000.0, Rejected
3, Not Graduate, Yes,5900000.0,20600000.0,10,777.0,1900000.0,4600000.0,21200000.0,6400000.0, Approved
4, Graduate, No,7200000.0,19100000.0,4,774.0,9400000.0,7000000.0,17900000.0,3600000.0, Approved
1, Not Graduate, Yes,8700000.0,27000000.0,10,717.0,,8600000.0,17500000.0,9100000.0, Approved
3, Not Graduate, Yes,1100000.0,3500000.0,12,503.0,3000000.0,400000.0,2200000.0,1200000.0, Rejected
1, Graduate, Yes,4000000.0,10900000.0,14,598.0,3600000.0,6600000.0,13600000.0,4400000.0, Approved
2, Graduate, No,,,2,543.0,,,25700000.0,7700000.0, Approved
0, Not Graduate, Yes,2700000.0,6800000.0,20,796.0,700000.0,4200000.0,7000000.0,1900000.0, Approved
3, Not Graduate, Yes,8800000.0,,8,386.0,14800000.0,,18400000.0,6000000.0, Rejected
5, Not Graduate, Yes,3300000.0,7800000.0,16,632.0,8500000.0,500000.0,7100000.0,4900000.0, Approved
1, Graduate, Yes,6900000.0,23400000.0,4,481.0,18700000.0,1100000.0,23400000.0,10200000.0, Approved
3, Graduate, Yes,900000.0,3500000.0,4,770.0,700000.0,,2000000.0,600000.0, Rejected
3, Graduate, Yes,4100000.0,15500000.0,6,667.0,2800000.0,1600000.0,14700000.0,4000000.0, Approved
3, Not Graduate, Yes,4700000.0,17500000.0,8,585.0,1200000.0,3100000.0,9600000.0,4900000.0, Approved
5, Graduate, Yes,3400000.0,11600000.0,16,479.0,9200000.0,5700000.0,11200000.0,2400000.0, Rejected
2, Graduate, No,,22500000.0,18,851.0,7400000.0,,24300000.0,, Approved
3, Not Graduate, Yes,7000000.0,16200000.0,6,378.0,20000000.0,12600000.0,20300000.0,5500000.0, Rejected
5, Graduate, No,5700000.0,12900000.0,18,807.0,4100000.0,900000.0,18600000.0,5500000.0, Approved
1, Not Graduate, Yes,8200000.0,,18,831.0,,12300000.0,17700000.0,7800000.0, Approved
2, Not Graduate, No,2100000.0,5100000.0,12,674.0,2200000.0,3200000.0,6400000.0,2400000.0, Approved
1, Not Graduate, Yes,8000000.0,28100000.0,18,725.0,1900000.0,12800000.0,23000000.0,7500000.0, Approved
2, Not Graduate, No,8000000.0,29300000.0,4,600.0,16500000.0,13200000.0,29400000.0,6500000.0, Approved
0, Not Graduate, Yes,9400000.0,27000000.0,10,536.0,4400000.0,1700000.0,,4800000.0, Rejected
0, Graduate, No,8400000.0,20600000.0,10,477.0,1500000.0,1500000.0,25000000.0,, Rejected
1, Not Graduate, Yes,1900000.0,5000000.0,6,560.0,1000000.0,1900000.0,6300000.0,1400000.0, Approved
0, Not Graduate, Yes,4200000.0,16400000.0,20,539.0,9500000.0,2100000.0,11400000.0,3100000.0, Rejected
5, Graduate, No,2600000.0,9100000.0,8,852.0,3700000.0,700000.0,10300000.0,3300000.0, Approved
3, Not Graduate, No,3700000.0,8500000.0,20,853.0,8300000.0,5700000.0,7500000.0,4900000.0, Approved
0, Graduate, No,8800000.0,30900000.0,12,729.0,1700000.0,700000.0,25700000.0,, Approved
2, Not Graduate, No,2100000.0,4700000.0,2,546.0,6000000.0,3200000.0,5700000.0,1500000.0, Rejected
3, Graduate, Yes,900000.0,2400000.0,10,489.0,800000.0,,2800000.0,500000.0, Rejected
3, Graduate, Yes,,,6,869.0,14400000.0,,22800000.0,10300000.0, Approved
2, Not Graduate, No,8000000.0,20000000.0,2,502.0,4100000.0,2200000.0,,9900000.0, Rejected
0, Graduate, No,,,8,652.0,,,29700000.0,5400000.0, Approved
0, Not Graduate, Yes,,,8,789.0,400000.0,,,, Approved
4, Not Graduate, No,2700000.0,8100000.0,4,,5000000.0,800000.0,9900000.0,3400000.0, Approved
