no_of_dependents, education, self_employed, income_annum, loan_term, cibil_score, loan_status
5,1,0,5000000.0,8,701.0,0
2,0,0,3000000.0,12,701.9297972383551,0
5,1,1,5047253.3927980615,6,364.0,1
5,0,1,700000.0,20,704.0,0
3,0,1,4000000.0,10,440.5200248584708,1
5,1,0,3100000.0,2,761.0,0
4,1,0,4500000.0,6,693.0,0
3,1,0,5041392.375795788,16,524.0,1
2,1,1,2000000.0,10,681.0,0
2,0,1,8100000.0,18,737.0,0
0,1,0,5700000.0,16,638.0,0
4,1,0,5800000.0,2,656.0,0
1,0,0,1800000.0,6,540.0,1
4,1,1,9100000.0,6,341.0,1
0,1,1,4800000.0,2,371.0,0
3,1,1,3800000.0,12,698.5773656318311,0
0,1,0,1900000.0,18,801.0,0
3,1,1,3600000.0,16,748.0,0
2,1,1,7400000.0,8,376.0,1
4,1,1,6600000.0,8,371.0,1
2,0,0,1800000.0,6,826.0,0
4,1,0,9200000.0,12,698.5681717155212,0
5,1,1,2400000.0,8,430.7494464890911,1
4,1,0,5600000.0,20,869.0,0
5,0,0,3800000.0,12,534.0,1
3,1,1,4500000.0,6,787.0,0
0,0,1,900000.0,16,566.0,0
0,1,0,2800000.0,8,742.0,0
2,1,0,7500000.0,4,824.0,0
4,0,0,1400000.0,14,575.0,0
2,0,1,3800000.0,10,766.0,0
1,1,1,1700000.0,10,691.6179161350169,0
3,0,1,9000000.0,6,638.0,0
5,1,1,7300000.0,6,622.0,0
1,1,0,7400000.0,18,458.0,1
1,1,0,9000000.0,16,452.89485835209103,1
0,1,0,3000000.0,2,612.0,0
1,0,0,800000.0,8,682.0,0
2,0,0,4800000.0,2,583.0,0
5,1,0,6400000.0,8,697.0,0
3,0,0,9200000.0,12,444.9102896389856,1
4,1,1,4999748.391483729,2,669.0,0
2,1,0,2800000.0,18,816.0,0
4,1,1,8500000.0,20,455.0,1
3,0,1,4700000.0,10,430.8539320977181,1
4,1,1,5036796.976578054,20,355.0,1
2,1,1,3800000.0,16,389.0,1
2,0,0,5038139.488076434,2,669.8831508729154,0
2,0,1,6900000.0,6,352.0,1
4,1,1,4997857.090616612,12,657.9098727894058,0
3,1,0,2900000.0,18,827.0,0
2,0,0,5036248.187209316,12,768.0,0
0,0,0,7100000.0,18,707.0,0
1,1,1,7700000.0,10,355.0,1
3,0,0,1400000.0,2,652.0,0
3,0,0,7800000.0,2,665.0,0
5,1,1,1700000.0,18,420.0,1
2,1,0,8500000.0,18,471.0,1
5,1,0,1900000.0,20,715.0,0
2,1,1,6700000.0,10,689.0,0
3,0,1,6900000.0,4,787.0,0
2,0,0,2600000.0,4,819.0,0
4,0,1,5041352.683864743,6,809.0,0
1,1,1,6800000.0,2,744.0,0
0,1,0,3200000.0,6,484.0,1
4,1,0,2900000.0,6,673.0,0
3,0,1,7900000.0,18,695.0,0
4,1,1,3900000.0,12,473.0,1
4,0,1,4600000.0,2,491.0,1
3,1,1,700000.0,8,733.0,0
0,1,0,5200000.0,20,434.0,1
3,1,1,5900000.0,10,777.0,0
4,0,0,7200000.0,4,774.0,0
1,1,1,8700000.0,10,717.0,0
3,1,1,1100000.0,12,503.0,1
1,0,1,4000000.0,14,598.0,0
2,0,0,5038139.488076434,2,543.0,0
0,1,1,2700000.0,20,796.0,0
3,1,1,8800000.0,8,386.0,1
5,1,1,3300000.0,16,632.0,0
1,0,1,6900000.0,4,481.0,0
3,0,1,900000.0,4,770.0,1
3,0,1,4100000.0,6,667.0,0
3,1,1,4700000.0,8,585.0,0
5,0,1,3400000.0,16,479.0,1
2,0,0,5035113.406689046,18,851.0,0
3,1,1,7000000.0,6,378.0,1
5,0,0,5700000.0,18,807.0,0
1,1,1,8200000.0,18,831.0,0
2,1,0,2100000.0,12,674.0,0
1,1,1,8000000.0,18,725.0,0
2,1,0,8000000.0,4,600.0,0
0,1,1,9400000.0,10,536.0,1
0,0,0,8400000.0,10,477.0,1
1,1,1,1900000.0,6,560.0,0
0,1,1,4200000.0,20,539.0,1
5,0,0,2600000.0,8,852.0,0
3,1,0,3700000.0,20,853.0,0
0,0,0,8800000.0,12,729.0,0
2,1,0,2100000.0,2,546.0,1
3,0,1,900000.0,10,489.0,1
3,0,1,5033544.088858699,6,869.0,0
2,1,0,8000000.0,2,502.0,1
0,0,0,5021387.517544077,8,652.0,0
0,1,1,4967379.230939287,8,789.0,0
4,1,0,2700000.0,4,678.6728418538216,0
3,0,1,7400000.0,2,716.0,0
3,0,0,9200000.0,18,523.0,1
5,1,0,5056253.045461027,20,352.0,1
5,0,1,3800000.0,2,345.0,0
0,0,0,8300000.0,18,649.0,0
2,0,1,2800000.0,18,666.0,0
0,0,0,8600000.0,10,813.0,0
0,1,0,5400000.0,10,599.0,0
5,0,1,4200000.0,6,678.0,0
5,1,0,5200000.0,20,513.0,1
5,0,0,9400000.0,4,674.7472943793381,0
3,0,0,8800000.0,8,483.0,1
1,0,1,5900000.0,16,454.7095629604928,1
3,0,1,1700000.0,16,591.0,0
1,1,0,7000000.0,10,687.3999798942422,0
4,1,0,1700000.0,6,829.0,0
0,1,0,1500000.0,12,651.0,0
4,1,0,2000000.0,18,733.0,0
5,0,1,3900000.0,12,433.0,1
1,0,1,900000.0,14,713.0,0
1,0,0,6900000.0,18,403.0,1
0,0,1,2800000.0,10,405.0,1
3,0,1,6800000.0,10,516.0,1
4,1,1,600000.0,8,417.0,1
1,1,0,4700000.0,6,468.0,1
5,0,1,3000000.0,10,672.0,0
5,1,0,4000000.0,6,530.0,1
1,1,1,3100000.0,14,824.0,0
1,1,1,7700000.0,12,549.0,1
5,1,1,4300000.0,10,450.0,1
1,0,1,5800000.0,20,431.0,1
3,0,1,3600000.0,16,454.058602309572,1
0,1,1,2900000.0,8,435.6389258910255,1
0,0,0,8800000.0,4,433.0,1
1,1,1,5015262.492427043,10,431.0,1
5,1,1,8600000.0,8,516.0,1
2,1,1,3500000.0,14,476.0,1
5,0,0,800000.0,6,560.0,0
2,0,0,8000000.0,12,674.0,0
0,1,1,4967757.49111271,6,573.0,0
2,1,0,3300000.0,6,331.0,1
4,0,1,2000000.0,12,633.0,0
3,1,0,4900000.0,18,720.6291868609087,0
5,1,1,9200000.0,12,656.0,0
0,1,0,7500000.0,6,782.0,0
5,1,0,9000000.0,4,531.0,0
3,1,0,1400000.0,8,455.0,1
3,0,0,5084131.448697072,14,452.0,1
2,0,0,8400000.0,14,474.0,1
3,1,0,6400000.0,4,483.0,0
4,0,0,5900000.0,8,481.0,1
2,0,1,2200000.0,20,859.0,0
4,0,1,5600000.0,14,696.0,0
4,1,0,5010639.345013811,6,778.0,0
4,0,0,4400000.0,4,499.0,0
2,1,1,2400000.0,4,680.4254781148022,0
1,0,0,4400000.0,12,674.0,0
4,0,0,3700000.0,4,802.0,0
4,1,1,2300000.0,8,540.0,1
4,0,1,5900000.0,8,726.0,0
4,1,1,6400000.0,2,485.0,0
4,0,1,4900000.0,6,612.0,0
3,1,1,4990805.015957416,8,661.4092509266414,0
2,1,0,5700000.0,12,708.0,0
2,1,1,2700000.0,8,850.0,0
2,1,1,3900000.0,12,516.0,1
0,1,0,7800000.0,12,465.0,1
0,0,0,1100000.0,20,716.0,0
4,1,0,5050335.751322101,10,404.0,1
0,1,1,4700000.0,20,512.0,1
3,1,1,8200000.0,10,441.0,1
2,1,1,4600000.0,2,555.0,0
5,1,0,1800000.0,18,466.0,1
3,0,1,3200000.0,2,427.0,1
4,1,1,5500000.0,14,593.0,0
3,0,0,7900000.0,10,731.0,0
1,0,1,4000000.0,16,451.0,1
3,1,1,6800000.0,18,628.0,0
1,1,0,2700000.0,18,704.0,0
2,1,0,6800000.0,12,341.0,1
5,0,0,8600000.0,8,465.0,1
4,0,0,8000000.0,4,431.0,0
1,0,1,3700000.0,10,424.0,1
0,0,0,2600000.0,14,678.0,0
4,0,0,4200000.0,6,381.0,1
5,0,1,8000000.0,10,449.0,1
1,1,0,7100000.0,12,768.0,0
0,1,0,2000000.0,6,666.0,1
4,1,1,5800000.0,14,742.0,0
3,1,1,6700000.0,4,445.0,1
2,0,0,7300000.0,14,634.0,0
4,1,0,3300000.0,14,782.0,0
0,0,0,3000000.0,10,781.0,0
4,1,0,7900000.0,14,467.9871819834655,1
5,1,0,7600000.0,18,721.0,0
5,1,0,3700000.0,4,563.0,0
2,1,0,8400000.0,4,419.0,0
0,0,1,8200000.0,14,372.0,1
0,1,0,2900000.0,18,714.3941365832477,0
1,1,1,4974431.3055984825,12,596.0,0
0,0,0,4400000.0,2,349.0,0
1,1,1,9000000.0,16,468.0,1
3,1,1,6800000.0,16,818.0,0
2,1,0,8700000.0,12,543.0,1
3,0,0,9400000.0,16,685.0,0
3,1,1,6000000.0,18,851.0,0
1,1,1,9400000.0,10,377.0,1
0,1,1,1000000.0,10,620.0,0
3,0,1,900000.0,20,611.0,0
4,1,0,2100000.0,4,767.0,0
5,0,1,1100000.0,20,592.0,0
0,0,1,600000.0,4,672.2655974259216,0
4,1,1,9200000.0,10,693.5843677270283,0
2,1,1,3600000.0,18,814.0,0
5,1,1,1300000.0,10,755.0,0
5,0,1,7700000.0,20,584.0,0
4,0,1,5080292.569826185,14,380.0,1
2,1,1,5000000.0,20,465.0,1
0,1,0,4980161.485336486,2,531.0,0
1,0,1,8300000.0,16,814.0,0
0,0,0,5300000.0,6,678.0,0
2,1,1,9300000.0,12,655.0,0
3,1,0,2300000.0,2,682.0,0
1,1,0,4987213.559995683,6,695.0,0
3,1,0,3200000.0,4,833.0,0
5,1,1,9400000.0,16,455.00624003425264,1
1,0,0,2300000.0,2,357.0,1
5,1,0,4300000.0,12,444.0938011411391,1
0,0,1,6200000.0,18,699.9080296303522,0
0,1,1,7200000.0,12,658.0,0
5,0,1,2400000.0,18,708.7577917530328,0
3,1,0,2900000.0,8,648.0,0
1,0,0,1400000.0,12,730.0,0
4,1,1,2200000.0,14,737.0,0
2,0,1,800000.0,10,584.0,1
0,0,0,600000.0,2,621.0,0
4,0,1,700000.0,16,583.0,0
2,1,0,8400000.0,16,621.0,0
2,1,0,7100000.0,16,610.0,0
4,0,0,5400000.0,18,452.0,1
5,0,0,3700000.0,18,339.0,1
3,0,1,5200000.0,16,650.0,0
4,1,1,4998235.350790035,10,672.0,0
3,0,0,5082996.668176801,20,501.0,1
2,1,1,1800000.0,4,809.0,0
5,0,1,9200000.0,8,424.7806915670957,1
4,1,0,900000.0,10,649.0,0
3,1,0,7500000.0,12,367.0,1
5,1,0,3000000.0,6,847.0,0
5,0,0,7100000.0,12,360.0,1
1,0,1,3500000.0,2,865.0,0
4,1,0,4900000.0,16,700.4692283115867,0
1,0,0,4100000.0,20,608.0,0
0,0,1,800000.0,6,760.0,0
3,0,1,1700000.0,12,385.0,1
0,0,1,6100000.0,12,478.0,1
1,0,1,2100000.0,16,450.57291606514286,1
0,0,0,3100000.0,6,663.0,0
2,1,1,1700000.0,20,693.0,0
3,0,0,1700000.0,6,710.0,0
4,1,1,4000000.0,6,711.0,0
5,0,0,5600000.0,8,386.0,1
4,0,1,3900000.0,10,855.0,0
4,0,1,6100000.0,14,573.0,0
0,0,1,1100000.0,18,431.0,1
2,0,0,5500000.0,8,364.0,1
4,0,1,1100000.0,14,711.0,0
4,1,1,4996344.049922918,20,771.0,0
3,0,0,9200000.0,18,669.0,0
4,1,1,9300000.0,18,338.0,1
1,0,0,1100000.0,8,562.0,0
3,1,0,5600000.0,2,769.0,0
0,0,1,6300000.0,8,629.0,0
3,0,0,8800000.0,6,699.0,0
0,1,0,8400000.0,20,590.0,0
3,0,1,1600000.0,4,707.0,0
3,1,1,4500000.0,8,391.0,1
5,1,0,6500000.0,4,679.5156190633752,0
3,0,1,5034300.609205547,2,731.0,0
3,1,0,4700000.0,12,775.0,0
5,0,1,5049917.799217632,2,667.042710910263,0
5,0,0,8000000.0,20,794.0,0
2,0,0,7700000.0,6,555.0,0
1,1,1,3600000.0,12,536.0,1
2,1,0,700000.0,10,839.0,0
0,0,1,1400000.0,6,676.3943438913103,0
1,0,1,8600000.0,20,415.0,1
4,0,0,4700000.0,4,868.0,0
3,0,1,2900000.0,12,353.0,1
4,1,0,9000000.0,16,590.0,0
5,0,1,5046891.717830245,18,618.0,0
2,1,1,700000.0,10,539.0,1
0,0,0,6800000.0,4,429.0,0
2,0,0,1800000.0,8,792.0,0
0,1,0,6000000.0,2,608.0,0
4,0,1,5400000.0,14,555.0,0
5,0,1,8400000.0,12,620.0,0
0,0,0,7400000.0,6,635.0,0
2,0,0,3200000.0,10,457.0,1
1,0,1,5400000.0,8,350.0,1
5,0,1,1000000.0,14,703.421109531183,0
0,0,0,4400000.0,16,638.0,0
1,0,1,3800000.0,12,710.0,0
3,1,1,6100000.0,18,470.0,1
5,1,1,5500000.0,16,704.9803864840369,0
5,1,1,5044983.83175752,18,411.0,1
0,1,1,4968514.011459557,2,482.0,0
1,0,1,6200000.0,2,396.0,1
0,1,0,5017210.070430812,20,436.0,1
0,1,1,6900000.0,20,460.560816548584,1
4,0,0,3700000.0,12,728.0,0
3,1,1,8800000.0,10,775.0,0
5,0,1,8200000.0,12,402.0,1
1,1,1,9200000.0,18,698.0,0
0,1,0,2400000.0,14,665.0,0
4,1,0,4100000.0,18,490.0,1
1,0,0,8000000.0,12,504.0,1
3,1,1,3600000.0,8,790.0,0
1,1,1,700000.0,20,669.0,0
4,1,0,8300000.0,6,381.0,1
0,0,1,5300000.0,2,667.8963900454146,0
4,0,0,8300000.0,16,506.0,1
3,1,1,2500000.0,12,538.0,1
3,0,1,5400000.0,8,677.0,0
4,0,0,1600000.0,8,685.0,0
2,1,0,2400000.0,12,860.0,0
5,1,0,6300000.0,6,608.0,0
4,0,1,2500000.0,10,540.0,1
0,0,1,7500000.0,16,492.0,1
3,1,0,2900000.0,14,834.0,0
3,0,1,1000000.0,16,834.0,0
2,0,1,8600000.0,8,673.4953318952774,0
1,1,0,5026531.706130548,12,443.0,1
5,1,0,2300000.0,18,468.7568225809949,1
2,1,1,2400000.0,12,739.0,0
5,0,1,5049161.278870786,6,867.0,0
2,1,0,8100000.0,6,427.6544793559594,1
3,0,0,6700000.0,18,492.0,1
1,1,1,8400000.0,18,698.0,0
2,0,0,5037004.707556163,8,851.0,0
2,0,0,4700000.0,14,375.0,1
0,0,1,4300000.0,14,601.0,0
4,1,0,2200000.0,20,756.0,0
4,0,1,8600000.0,4,868.0,0
4,0,1,2000000.0,10,838.0,0
4,1,1,4200000.0,14,375.0,1
0,1,1,5100000.0,18,778.0,0
2,0,1,4100000.0,6,442.0,1
1,0,1,5016792.118326344,12,808.0,0
1,1,1,3200000.0,20,372.0,1
2,0,0,5500000.0,4,597.0,0
0,0,1,7800000.0,20,435.0,1
3,0,1,3400000.0,20,728.0,0
4,0,1,7900000.0,14,373.0,1
3,0,1,8900000.0,10,367.0,1
2,0,0,7300000.0,14,552.0,0
4,1,1,3300000.0,8,465.0,1
4,0,1,2900000.0,8,607.0,0
2,0,1,5066566.6806812165,4,427.0,1
3,1,0,7200000.0,4,711.0,0
3,1,0,8300000.0,14,823.0,0
1,1,1,8700000.0,6,523.0,1
4,1,1,7100000.0,10,420.6073227095333,1
3,0,1,5032409.308338429,12,721.0,0
0,0,1,6900000.0,20,599.0,0
0,1,0,2400000.0,14,580.0,0
1,1,1,2100000.0,10,744.0,0
2,0,1,7200000.0,4,559.0,0
2,0,0,4600000.0,16,587.0,0
5,0,1,5046891.717830245,18,817.0,0
4,1,1,4996344.049922918,20,655.0,0
5,0,1,6900000.0,6,382.0,1
2,0,1,1700000.0,6,765.0,0
2,0,1,4400000.0,20,516.0,1
4,1,1,4300000.0,8,383.0,1
2,1,0,3700000.0,6,633.0,0
1,0,0,5900000.0,2,547.0,1
5,1,1,8600000.0,10,843.0,0
3,1,1,3400000.0,8,783.0,0
3,1,1,1000000.0,14,790.0,0
1,1,1,4400000.0,16,409.0,1
0,1,0,3600000.0,14,376.0,1
3,1,0,1400000.0,8,625.0,0
0,1,0,5300000.0,18,707.0,0
3,0,1,9400000.0,6,645.0,0
4,1,1,6600000.0,6,672.7368901368775,0
5,0,0,5098992.118362311,18,463.3779915339864,1
1,1,0,1900000.0,20,647.0,0
2,1,1,5800000.0,6,665.6273177874933,0
2,1,0,3100000.0,10,420.0,1
0,0,0,6800000.0,2,791.0,0
5,1,0,4600000.0,12,694.0564117168409,0
2,1,1,4981483.380257679,16,641.0,0
3,1,1,5031636.202785975,6,407.5577144552381,1
5,1,1,6200000.0,20,819.0,0
4,1,1,5037175.236751477,18,387.0,1
5,0,1,4200000.0,2,686.0,0
1,0,1,5700000.0,4,415.0,1
2,0,1,5066188.420507792,6,425.9867051110792,1
4,0,0,8000000.0,4,722.0,0
4,0,0,5200000.0,20,761.0,0
1,0,1,7100000.0,8,389.0,1
1,0,1,9300000.0,12,600.0,0
5,0,0,2000000.0,2,407.0,0
3,0,1,3900000.0,18,829.0,0
2,1,0,2800000.0,6,689.9921104678597,0
5,0,1,3000000.0,12,441.0,1
4,1,0,4500000.0,16,720.3069851808702,0
4,0,0,1900000.0,4,826.0,0
1,0,0,2300000.0,8,453.0,1
0,0,0,4700000.0,2,701.0,0
2,1,1,1300000.0,8,627.0,0
3,0,0,3100000.0,2,543.0,0
0,0,0,8400000.0,18,411.0,1
5,0,1,1700000.0,4,583.0,0
2,1,0,1900000.0,2,668.5439042271142,0
3,1,0,2400000.0,8,684.0,0
5,0,0,6800000.0,10,578.0,0
1,0,0,2900000.0,20,445.0,1
4,0,1,8900000.0,10,369.0,1
1,1,0,8800000.0,18,794.0,0
0,0,1,8200000.0,16,492.0,1
3,1,1,3600000.0,16,557.0,0
4,0,1,5081805.610519879,6,519.0,1
0,1,1,1900000.0,18,699.0,0
3,1,1,9100000.0,2,741.0,0
5,0,0,1100000.0,18,508.0,1
5,1,1,1100000.0,10,647.0,0
1,0,0,9300000.0,14,656.0,0
4,0,1,3900000.0,2,439.0,1
5,1,1,1500000.0,12,350.0,1
5,0,0,800000.0,6,493.0,1
4,0,0,600000.0,6,851.0,0
2,0,0,4400000.0,18,492.0,1
4,0,1,2700000.0,6,861.0,0
3,1,1,6200000.0,2,664.0,0
5,0,1,700000.0,16,362.0,1
0,0,0,3400000.0,6,703.0,0
1,1,1,4900000.0,12,758.0,0
3,1,1,4200000.0,2,396.0,1
0,0,1,5300000.0,2,828.0,0
5,0,1,3700000.0,20,709.0,0
4,1,1,5600000.0,10,528.0,1
2,0,1,4300000.0,14,623.0,0
4,1,1,7100000.0,14,599.0,0
4,0,1,5400000.0,4,622.0,0
0,1,0,6000000.0,6,385.0,1
4,0,1,4100000.0,2,579.0,0
4,1,0,8300000.0,20,846.0,0
3,0,0,8100000.0,10,449.0,1
1,1,0,7200000.0,14,666.0,0
5,0,0,7200000.0,4,380.0,1
2,0,1,3500000.0,4,589.0,0
1,0,0,6200000.0,12,845.0,0
3,1,0,5200000.0,10,401.0,1
0,1,0,4500000.0,2,766.0,0
5,1,0,5400000.0,12,522.0,1
3,1,1,2000000.0,6,834.0,0
3,0,0,8900000.0,8,588.0,0
2,0,0,5000000.0,4,570.0,0
2,0,0,4900000.0,6,860.0,0
4,0,1,5300000.0,4,655.0,0
3,1,1,8500000.0,4,457.0,0
5,0,1,700000.0,14,863.0,0
3,1,1,5900000.0,4,742.0,0
3,0,0,3500000.0,4,798.0,0
5,1,1,7700000.0,16,552.0,0
2,1,1,4500000.0,12,418.0,1
0,0,0,9100000.0,6,419.0,1
1,1,1,9000000.0,2,668.0,0
2,1,0,8900000.0,8,608.0,0
5,1,0,6500000.0,10,342.0,1
4,1,1,8100000.0,8,817.0,0
1,1,0,8400000.0,16,476.0,1
0,1,0,5300000.0,6,671.6608827004426,0
2,0,0,4100000.0,12,838.0,0
3,1,0,6900000.0,4,406.0,0
1,0,1,5200000.0,12,778.0,0
5,1,1,2000000.0,14,799.0,0
3,0,0,4600000.0,20,716.0,0
0,0,1,7100000.0,16,756.0,0
0,1,0,9300000.0,10,743.0,0
3,1,0,5400000.0,20,731.0,0
3,1,0,4100000.0,2,833.0,0
4,1,0,4900000.0,8,470.0,1
5,0,1,5400000.0,20,734.0,0
0,0,0,3000000.0,12,620.0,0
0,1,1,6800000.0,8,812.0,0
4,0,1,5100000.0,12,459.0,1
0,0,1,5009361.783493724,10,704.0,0
1,0,1,1600000.0,6,391.0,1
4,0,0,8000000.0,4,421.0,0
5,0,0,2900000.0,14,796.0,0
4,0,0,9200000.0,10,607.0,0
3,1,0,5041770.635969211,14,376.0,1
0,0,1,3700000.0,8,424.0,1
5,0,1,7100000.0,6,442.0,1
5,1,0,5600000.0,14,448.0,1
0,0,1,1200000.0,2,638.0,0
3,1,0,1600000.0,6,710.0,0
4,1,1,1600000.0,20,641.0,0
2,1,0,5300000.0,10,348.0,1
5,1,0,9100000.0,20,519.0,1
4,1,1,9400000.0,10,517.0,1
3,1,0,5900000.0,6,375.0,1
2,0,1,1100000.0,10,426.0,1
4,0,1,3100000.0,14,785.0,0
4,1,0,2200000.0,20,373.0,1
1,0,0,6000000.0,6,476.0,1
1,0,1,2000000.0,18,460.6916687503818,1
4,0,0,7200000.0,18,657.0,0
1,1,1,4974431.3055984825,12,868.0,0
1,1,1,5800000.0,6,345.0,1
0,1,0,5019857.891644776,6,472.0,1
4,1,1,4600000.0,20,613.0,0
5,1,1,4600000.0,14,769.0,0
